State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,Core Set Year,Population,Methodology,State Rate,Number of States Reporting,Mean,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,45.8,52,53.2,50.8,43.4,61.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,46.1,52,53.2,50.8,43.4,61.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17,2024,Separate CHIP (Title XXI),Administrative,39.6,52,53.2,50.8,43.4,61.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,62.5,52,69.8,69.3,63.9,75.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,62.5,52,69.8,69.3,63.9,75.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17,FUM-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17,2024,Separate CHIP (Title XXI),Administrative,62.7,52,69.8,69.3,63.9,75.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,18.1,47,23.8,21.5,18.1,29.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,18.0,47,23.8,21.5,18.1,29.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and PCCM populations.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 13 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,47,23.8,21.5,18.1,29.2,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.","Separate CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Emergency Department Visit for Substance Use: Ages 13 to 17,FUA-CH,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Substance Use Disorder (SUD) or Drug Overdose with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,37.0,50,34.4,33.0,27.5,42.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
